2026-07-28 23:15:03,723 | INFO | __main__ | Application started with environment: development
2026-07-28 23:19:02,031 | INFO | __main__ | Application started with environment: development
2026-07-28 23:19:21,774 | INFO | __main__ | Application started with environment: development
2026-07-28 23:27:05,632 | INFO | __main__ | Application started with environment: development
2026-07-28 23:27:06,768 | INFO | __main__ | Application started with environment: development
2026-07-28 23:31:02,107 | INFO | __main__ | Application started with environment: development
2026-07-28 23:31:25,064 | INFO | __main__ | Application started with environment: development
2026-07-28 23:31:44,195 | INFO | __main__ | Application started with environment: development
2026-07-28 23:31:46,296 | INFO | __main__ | Application started with environment: development
2026-07-28 23:32:58,498 | INFO | __main__ | Application started with environment: development
2026-07-28 23:39:49,705 | INFO | __main__ | Application started with environment: development
2026-07-28 23:40:51,007 | INFO | __main__ | Accepted user request for processing: what is ai
2026-07-28 23:40:51,017 | INFO | __main__ | Application started with environment: development
2026-07-28 23:44:55,513 | INFO | __main__ | Application started with environment: development
2026-07-28 23:49:08,390 | INFO | __main__ | Application started with environment: development
